,product_title,product_url,img_url,product_price,average_rating,reviews_count,width,height,legth,breadcrumbs_category_main,breadcrumbs_category_sub
0,HÄRLANDA Cover for armrest - Ljungen light green,https://www.ikea.com/us/en/p/haerlanda-cover-for-armrest-ljungen-light-green-90455270/,https://www.ikea.com/us/en/images/products/haerlanda-cover-for-armrest-inseros-white__0577137_pe668614_s5.jpg,30.0,5.0,1.0,9.75,1.75,14.25,Sofas & sectionals,Sofa & armchairs covers
1,FINNALA Sofa - with open end/Orrsta black-blue,https://www.ikea.com/us/en/p/finnala-sofa-with-open-end-orrsta-black-blue-s89319090/,https://www.ikea.com/us/en/images/products/finnala-sofa-with-open-end-dalstorp-multicolor__0725528_pe734921_s5.jpg,579.0,3.7,3.0,29.25,12.25,57.25,Sofas & sectionals,Fabric sofas
2,"FINNALA Cover for sectional, 5-seat - with chaise/Dalstorp multicolor",https://www.ikea.com/us/en/p/finnala-cover-for-sectional-5-seat-with-chaise-dalstorp-multicolor-s29319842/,https://www.ikea.com/us/en/images/products/finnala-cover-for-sectional-5-seat-with-chaise-dalstorp-multicolor__0725562_pe734946_s5.jpg,232.0,0.0,0.0,9.75,1.5,15.75,Sofas & sectionals,Sofa & armchairs covers
3,FINNALA Loveseat section - Grann/Bomstad golden brown,https://www.ikea.com/us/en/p/finnala-loveseat-section-grann-bomstad-golden-brown-60456431/,https://www.ikea.com/us/en/images/products/finnala-loveseat-section-grann-bomstad-black__0819136_pe774697_s5.jpg,799.0,5.0,1.0,31.5,12.25,57.25,Sofas & sectionals,Leather & faux leather sofas
4,HÄRLANDA Chaise section - Inseros white,https://www.ikea.com/us/en/p/haerlanda-chaise-section-inseros-white-s99320168/,https://www.ikea.com/us/en/images/products/haerlanda-chaise-section-inseros-white__0727742_pe735794_s5.jpg,380.0,1.0,1.0,34.0,18.75,58.5,Sofas & sectionals,Fabric sofas
5,HÄRLANDA Cover for sleeper sofa - Ljungen medium gray,https://www.ikea.com/us/en/p/haerlanda-cover-for-sleeper-sofa-ljungen-medium-gray-s69320607/,https://www.ikea.com/us/en/images/products/haerlanda-cover-for-sleeper-sofa-inseros-white__0621961_pe690211_s5.jpg,204.0,0.0,0.0,9.75,1.75,14.25,Sofas & sectionals,Sofa & armchairs covers
6,HÄRLANDA Cover for sofa section - Ljungen medium gray,https://www.ikea.com/us/en/p/haerlanda-cover-for-sofa-section-ljungen-medium-gray-60455295/,https://www.ikea.com/us/en/images/products/haerlanda-cover-for-sofa-section-inseros-white__0577136_pe668610_s5.jpg,89.0,0.0,0.0,14.75,5.5,22.25,Sofas & sectionals,Sofa & armchairs covers
7,FINNALA Sofa - with chaise with headrest/Gunnared medium gray,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-with-headrest-gunnared-medium-gray-s69336123/,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-with-headrest-dalstorp-multicolor__0725522_pe734912_s5.jpg,824.0,5.0,1.0,29.25,12.25,57.25,Sofas & sectionals,Fabric sofas
8,"FINNALA Sectional, 5-seat corner - Grann/Bomstad golden brown",https://www.ikea.com/us/en/p/finnala-sectional-5-seat-corner-grann-bomstad-golden-brown-s49319252/,https://www.ikea.com/us/en/images/products/finnala-sectional-5-seat-corner-grann-bomstad-black__0817667_pe774091_s5.jpg,2599.0,0.0,0.0,31.5,12.25,57.25,Sofas & sectionals,Leather & faux leather sofas
9,FINNALA Sofa - with chaise with headrest/Grann/Bomstad golden brown,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-with-headrest-grann-bomstad-golden-brown-s99336131/,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-with-headrest-grann-bomstad-black__0817211_pe773911_s5.jpg,1999.0,0.0,0.0,31.5,12.25,57.25,Sofas & sectionals,Fabric sofas
10,"MORABO Sectional, 5-seat - with chaise/Grann/Bomstad gray-green/metal",https://www.ikea.com/us/en/p/morabo-sectional-5-seat-with-chaise-grann-bomstad-gray-green-metal-s79317850/,https://www.ikea.com/us/en/images/products/morabo-sectional-5-seat-with-chaise-grann-bomstad-black-metal__0320879_pe514824_s5.jpg,2649.0,3.0,2.0,37.0,20.75,37.0,Sofas & sectionals,Leather & faux leather sofas
11,"MORABO Sectional, 4-seat - with chaise/Gunnared light green/wood",https://www.ikea.com/us/en/p/morabo-sectional-4-seat-with-chaise-gunnared-light-green-wood-s29318343/,https://www.ikea.com/us/en/images/products/morabo-sectional-4-seat-with-chaise-djuparp-dark-blue-wood__0990567_pe819061_s5.jpg,1099.0,5.0,1.0,36.5,20.75,83.75,Sofas & sectionals,Leather & faux leather sofas
12,MORABO Sofa - Grann/Bomstad gray-green/wood,https://www.ikea.com/us/en/p/morabo-sofa-grann-bomstad-gray-green-wood-s89317859/,https://www.ikea.com/us/en/images/products/morabo-sofa-grann-bomstad-black-wood__0321005_pe514785_s5.jpg,849.0,4.7,22.0,36.5,20.75,83.75,Sofas & sectionals,Leather & faux leather sofas
13,MORABO 5-seat sofa with chaises - Grann/Bomstad golden brown/metal,https://www.ikea.com/us/en/p/morabo-5-seat-sofa-with-chaises-grann-bomstad-golden-brown-metal-s19442395/,https://www.ikea.com/us/en/images/products/morabo-5-seat-sofa-with-chaises-grann-bomstad-black-metal__0630092_pe694645_s5.jpg,2149.0,0.0,0.0,32.25,21.25,64.5,Sofas & sectionals,Leather & faux leather sofas
14,FINNALA Cover for chaise section - Gunnared beige,https://www.ikea.com/us/en/p/finnala-cover-for-chaise-section-gunnared-beige-20454863/,https://www.ikea.com/us/en/images/products/finnala-cover-for-chaise-section-dalstorp-multicolor__0724725_pe734567_s5.jpg,50.0,5.0,1.0,14.25,2.0,22.25,Sofas & sectionals,Sofa & armchairs covers
15,"FINNALA Cover for sectional, 5-seat - Tallmyra black/gray",https://www.ikea.com/us/en/p/finnala-cover-for-sectional-5-seat-tallmyra-black-gray-s09319838/,https://www.ikea.com/us/en/images/products/finnala-cover-for-sectional-5-seat-dalstorp-multicolor__0725533_pe734917_s5.jpg,456.0,0.0,0.0,14.75,3.5,22.25,Sofas & sectionals,Sofa & armchairs covers
16,HÄRLANDA 1-seat section - Ljungen light red,https://www.ikea.com/us/en/p/haerlanda-1-seat-section-ljungen-light-red-s29320096/,https://www.ikea.com/us/en/images/products/haerlanda-1-seat-section-inseros-white__0577134_pe668608_s5.jpg,249.0,0.0,0.0,29.25,12.25,30.25,Sofas & sectionals,Sectionals
17,"KIVIK Sectional, 6 seat - Hillared beige",https://www.ikea.com/us/en/p/kivik-sectional-6-seat-hillared-beige-s29194385/,https://www.ikea.com/us/en/images/products/kivik-sectional-6-seat-hillared-beige__0479984_pe618878_s5.jpg,1899.0,0.0,0.0,37.5,19.25,77.75,Sofas & sectionals,Fabric sofas
18,FINNALA Sofa - with chaise/Tallmyra black/gray,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-tallmyra-black-gray-s09319107/,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-dalstorp-multicolor__0725530_pe734922_s5.jpg,899.0,3.3,6.0,29.25,12.25,57.25,Sofas & sectionals,Fabric sofas
19,FINNALA Loveseat section - Dalstorp multicolor,https://www.ikea.com/us/en/p/finnala-loveseat-section-dalstorp-multicolor-s89319453/,https://www.ikea.com/us/en/images/products/finnala-loveseat-section-dalstorp-multicolor__0724726_pe734573_s5.jpg,369.0,5.0,2.0,29.25,12.25,57.25,Sofas & sectionals,Fabric sofas
20,HÄRLANDA Cover for sleeper sofa - Sporda natural,https://www.ikea.com/us/en/p/haerlanda-cover-for-sleeper-sofa-sporda-natural-s29320586/,https://www.ikea.com/us/en/images/products/haerlanda-cover-for-sleeper-sofa-inseros-white__0621855_pe690113_s5.jpg,200.0,5.0,1.0,14.75,4.25,22.25,Sofas & sectionals,Sofa & armchairs covers
21,UPPLAND Loveseat - Virestad red/white,https://www.ikea.com/us/en/p/uppland-loveseat-virestad-red-white-s49324913/,https://www.ikea.com/us/en/images/products/uppland-loveseat-blekinge-white__0818535_pe774466_s5.jpg,419.0,4.4,24.0,36.5,15.75,80.0,Sofas & sectionals,Fabric sofas
22,"SÖDERHAMN Sectional, 4-seat corner - with open end/Viarp beige/brown",https://www.ikea.com/us/en/p/soederhamn-sectional-4-seat-corner-with-open-end-viarp-beige-brown-s39305849/,https://www.ikea.com/us/en/images/products/soederhamn-sectional-4-seat-corner-with-open-end-fridtuna-dark-gray__1057727_pe848939_s5.jpg,1218.0,2.0,2.0,38.0,10.5,75.25,Sofas & sectionals,Fabric sofas
23,MORABO Ottoman - Djuparp dark blue/wood,https://www.ikea.com/us/en/p/morabo-ottoman-djuparp-dark-blue-wood-s09416504/,https://www.ikea.com/us/en/images/products/morabo-ottoman-djuparp-dark-blue-wood__0990453_pe818966_s5.jpg,219.0,0.0,0.0,26.5,13.5,31.0,Sofas & sectionals,Ottomans
24,KIVIK Chaise cover - Hillared anthracite,https://www.ikea.com/us/en/p/kivik-chaise-cover-hillared-anthracite-40348904/,https://www.ikea.com/us/en/images/products/kivik-chaise-cover-hillared-anthracite__0479950_pe619104_s5.jpg,50.0,4.3,26.0,14.25,2.25,22.25,Sofas & sectionals,Sofa & armchairs covers
25,HÄRLANDA Corner section - Sporda natural,https://www.ikea.com/us/en/p/haerlanda-corner-section-sporda-natural-s49320222/,https://www.ikea.com/us/en/images/products/haerlanda-corner-section-inseros-white__0577139_pe668613_s5.jpg,361.0,0.0,0.0,37.75,15.25,39.0,Sofas & sectionals,Fabric sofas
26,FINNALA Chaise cover - Dalstorp multicolor,https://www.ikea.com/us/en/p/finnala-chaise-cover-dalstorp-multicolor-s69319864/,https://www.ikea.com/us/en/images/products/finnala-chaise-cover-dalstorp-multicolor__0724798_pe734639_s5.jpg,90.0,3.7,3.0,9.75,1.5,15.75,Sofas & sectionals,Sofa & armchairs covers
27,"MORABO Sectional, 5-seat - with chaise/Grann/Bomstad dark beige/wood",https://www.ikea.com/us/en/p/morabo-sectional-5-seat-with-chaise-grann-bomstad-dark-beige-wood-s49317408/,https://www.ikea.com/us/en/images/products/morabo-sectional-5-seat-with-chaise-grann-bomstad-black-wood__0320882_pe514823_s5.jpg,2649.0,3.0,2.0,32.75,21.25,63.0,Sofas & sectionals,Leather & faux leather sofas
28,MORABO Loveseat - Gunnared dark gray/wood,https://www.ikea.com/us/en/p/morabo-loveseat-gunnared-dark-gray-wood-s29318319/,https://www.ikea.com/us/en/images/products/morabo-loveseat-djuparp-dark-blue-wood__0990488_pe818998_s5.jpg,629.0,4.9,10.0,37.0,20.75,69.0,Sofas & sectionals,Fabric sofas
29,KIVIK Loveseat - Hillared beige,https://www.ikea.com/us/en/p/kivik-loveseat-hillared-beige-s79194401/,https://www.ikea.com/us/en/images/products/kivik-loveseat-hillared-beige__0479987_pe618871_s5.jpg,599.0,4.4,14.0,36.25,19.25,56.25,Sofas & sectionals,Fabric sofas
